ano,codigo,estacao,uf,regiao,latitude,longitude,altitude_m,temperaturas_validas,datetime_validos,cobertura_temp,cobertura_temp_pct,observacoes,temperatura_min_c,temperatura_max_c,primeiro_datetime,ultimo_datetime,coordenada_valida,dentro_dominio_era5,flag_temperatura_suspeita,possui_observacoes,elegivel_pareamento,motivo_elegibilidade,deslocamento_max_coord_km,coordenada_suspeita
2003,A401,SALVADOR,BA,NE,-13.01666666,-38.51666666,51.41,7917,8760,0.9037671232876713,90.37671232876713,7917.0,20.7,43.3,2003-01-01 12:00:00,2003-12-31 23:00:00,True,True,False,True,True,aprovada,1.7128560530155543,False
2003,A402,BARREIRAS,BA,NE,-12.15,-45.01666666,470.37,5204,8760,0.5940639269406393,59.406392694063925,5204.0,11.5,38.3,2003-02-15 20:00:00,2003-10-27 17:00:00,True,True,False,True,True,aprovada,3.029650583876989,False
2003,A404,LUIZ EDUARDO MAGALHAES,BA,NE,-12.15222222,-45.82972221,754.04,7968,8760,0.9095890410958904,90.95890410958904,7968.0,10.7,35.4,2003-01-01 00:00:00,2003-12-31 23:00:00,True,True,False,True,True,aprovada,0.0308877693871967,False
2003,A405,CARAVELAS,BA,NE,-17.73333333,-39.26666666,2.88,3084,8760,0.35205479452054794,35.205479452054796,3084.0,20.6,32.4,2003-01-01 00:00:00,2003-12-31 23:00:00,True,True,False,True,True,aprovada,1.0907058639320626,False
2003,A406,CRUZ DAS ALMAS,BA,NE,-12.65,-39.15,225.87,3601,8328,0.43239673390970224,43.239673390970225,3601.0,18.8,35.4,2003-01-20 13:00:00,2003-11-22 00:00:00,True,True,False,True,True,aprovada,7.157930775331779,True
2003,A407,ITIRUCU,BA,NE,-13.52833332,-40.11972221,755.61,7819,7824,0.9993609406952966,99.93609406952966,7819.0,12.5,33.0,2003-02-09 00:00:00,2003-12-31 23:00:00,True,True,False,True,True,aprovada,0.0617744268238272,False
2003,A408,ITABERABA,BA,NE,-12.51666666,-40.3,249.89,8075,8088,0.9983926805143423,99.83926805143423,8075.0,14.3,36.4,2003-01-29 00:00:00,2003-12-31 23:00:00,True,True,False,True,True,aprovada,0.8345080810445551,False
2003,A410,ILHEUS,BA,NE,-14.65944444,-39.1811111,78.0,8179,8184,0.9993890518084066,99.93890518084066,8179.0,14.1,31.8,2003-01-25 00:00:00,2003-12-31 23:00:00,True,True,False,True,True,aprovada,0.0795231410288498,False
2003,A412,MACAJUBA,BA,NE,-12.11666666,-40.18333333,380.0,7747,7968,0.9722640562248996,97.22640562248996,7747.0,13.2,36.6,2003-02-03 00:00:00,2003-12-31 23:00:00,True,True,False,True,True,aprovada,18.653128063246083,True
2003,A305,FORTALEZA,CE,NE,-3.83222221,-38.53777777,26.45,5722,7608,0.7521030494216614,75.21030494216615,5722.0,21.7,33.4,2003-02-18 13:00:00,2003-12-31 23:00:00,True,True,False,True,True,aprovada,1.8370779499076888,False
