codigo,estacao,uf,anos_total,anos_desempenho_extremo,bias_mediano_c,rmse_mediano_c,correlacao_mediana,bias_min_c,bias_max_c,rmse_max_c,pct_anos_desempenho_extremo,comportamento_persistente
A349,IBIMIRIM,PE,18,0,-0.72388738306941,1.4089826888620112,0.9671132916806467,-1.007513447351178,-0.4076912172850968,1.5609686344784368,0.0,False
A350,SERRA TALHADA,PE,17,0,-0.53542183859453,1.3830418522056829,0.9525731725460607,-0.780026584017653,0.020977230879303484,1.5947002548030038,0.0,False
A351,FLORESTA,PE,18,0,-0.9142821104713021,1.4933910821694747,0.9647544537590067,-1.2142646431521136,-0.1948260696435145,1.8319420710568357,0.0,False
A352,CAMARATUBA,PB,17,0,-0.0600485899007028,1.0933463041441962,0.9442477936358807,-0.310948186638216,0.16104461485982474,1.2574236059333799,0.0,False
A353,ARAPIRACA,AL,18,0,-0.5520829887672272,1.422839575931559,0.956809278612716,-1.3791028910872811,-0.1903644394796695,2.81147578204143,0.0,False
A354,OEIRAS,PI,17,0,0.303331453419455,2.6517395922258133,0.875449691387573,-0.5112347757475335,0.7841543606725311,3.0758862932318345,0.0,False
A355,CORURIPE,AL,17,1,-0.531214450376541,1.9606566142067805,0.8318154996707885,-5.712087478400615,-0.29425436401812266,6.2642878233548585,5.88235294117647,False
A356,SAO LUIS DO QUITUNDE,AL,17,0,-0.43918476205520574,2.0790556882607927,0.8926717676454359,-1.5619814664951697,-0.1862106143554681,2.2560638189980526,0.0,False
A357,PALMARES,PE,18,0,-0.691791127963276,1.5354695676453396,0.9518653826976583,-0.8669043922263884,-0.4909141364142539,1.6934220447923487,0.0,False
A358,JAGUARIBE,CE,17,0,-1.7148635162977313,2.256498393052784,0.947128155482649,-2.5570506288908605,-1.4585586099425316,3.1256036939563754,0.0,False
A359,ITAPIPOCA,CE,15,0,-1.499064044120767,1.8532064752644188,0.9423484031660713,-1.7220682854449327,-1.1293055886751378,2.1076017648748224,0.0,False
A360,ACARAU,CE,15,0,0.09583632622867246,1.4406974855785482,0.948327845278274,-0.2751626738534829,0.17644420496762328,1.5671297819219105,0.0,False
A361,CASTELO DO PIAUI,PI,15,0,0.22468578313440665,1.9321398292331429,0.9265579953985917,-0.4695068222184322,0.7667810737467637,2.185276345226534,0.0,False
A362,SAO PEDRO DO PIAUI,PI,10,0,-0.17365985714917448,1.5642741671798512,0.9375694402945498,-0.5982773954101785,0.5734139447020528,1.95620670259352,0.0,False
A363,VALENCA DO PIAUI,PI,16,0,-0.5022178203638007,1.855509217933031,0.9389833446737326,-1.0774386219715792,0.07018856791818938,2.0527622673135397,0.0,False
A364,GILBUES,PI,17,0,-1.6147638765184038,2.277958486885688,0.9198930316473746,-2.9901705889842334,-0.6547305010528297,4.112814980920467,0.0,False
A365,CANTO DO BURITI,PI,16,0,-0.21318049086793855,1.7594348794782324,0.9237203012313207,-0.7787956528974322,0.3256389839541212,1.8603974315851826,0.0,False
A366,OURICURI,PE,16,0,-0.4125779096615988,1.3800752839722872,0.9481714815596269,-0.8831648827686288,0.08418172971706227,1.665451849218434,0.0,False
