rede,variavel,nome_variavel,codigo,estacao,uf,regiao,n_anos,ano_inicio,ano_fim,valor_inicial_c,valor_final_c,n,mk_s,mk_tau,mk_var_classica,mk_z_classico,mk_p_classico,sen_slope_c_ano,sen_slope_c_decada,rho1_rank_detrendido,limite_acf_aprox,n_lags_acf_significativos,fator_correcao_hamed_rao,mk_var_modificada,mk_z_modificado,mk_p_modificado,mk_p_modificado_fdr,significativo_classico_p05,significativo_modificado_p05,significativo_modificado_fdr05,classificacao_classica,classificacao_modificada,classificacao_modificada_fdr,mudou_significancia_com_correcao,delta_p_modificado_menos_classico
sensibilidade_consecutiva_10a,delta_tmax,Delta Tmax (ERA5 - INMET),A811,CANGUCU,RS,Sul,11,2009,2019,-0.890625,0.3154296875,11,1,0.01818181818181818,165.0,0.0,1.0,0.0056489308675130205,0.056489308675130204,-0.0182648401826484,0.5909513763026626,0,1.0,165.0,0.0,1.0,1.0,False,False,False,sem_tendencia_significativa,sem_tendencia_significativa,sem_tendencia_significativa,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,Delta Tmax (ERA5 - INMET),A839,PASSO FUNDO,RS,Sul,10,2007,2016,-2.9917964935302734,-1.1971187591552734,10,23,0.5111111111111111,125.0,1.9677398201998149,0.049097981609265595,0.17137455940246582,1.7137455940246582,0.06097560975609756,0.6197950323045613,0,1.0,125.0,1.9677398201998149,0.049097981609265595,0.22094091724169518,True,True,False,crescente,crescente,sem_tendencia_significativa,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,Delta Tmax (ERA5 - INMET),A884,CAMPO BOM,RS,Sul,11,2014,2024,-4.322120666503906,-3.056690216064453,11,33,0.6,165.0,2.4911966213168735,0.012731364269923606,0.12381998697916667,1.2381998697916667,-0.2818181818181818,0.5909513763026626,0,1.0,165.0,2.4911966213168735,0.012731364269923606,0.10181445251419036,True,True,False,crescente,crescente,sem_tendencia_significativa,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,Delta Tmax (ERA5 - INMET),F501,BELO HORIZONTE - CERCADINHO,MG,Sudeste,11,2015,2025,-1.2859382629394531,-1.3603496551513672,11,3,0.05454545454545454,165.0,0.1556997888323046,0.8762696636277618,0.03941631317138672,0.3941631317138672,-0.2009132420091324,0.5909513763026626,1,1.711332503113325,282.36986301369865,0.11902024066463184,0.9052593200315926,1.0,False,False,False,sem_tendencia_significativa,sem_tendencia_significativa,sem_tendencia_significativa,False,0.028989656403830777
sensibilidade_consecutiva_10a,tmax_era5,Tmax ERA5,A001,BRASILIA,DF,Centro-Oeste,15,2011,2025,32.974510192871094,33.318504333496094,15,13,0.12380952380952381,408.3333333333333,0.5938459911664722,0.5526151250628484,0.06863043043348524,0.6863043043348525,-0.31305903398926654,0.5060605247526638,0,1.0,408.3333333333333,0.5938459911664722,0.5526151250628484,0.7859807845520617,False,False,False,sem_tendencia_significativa,sem_tendencia_significativa,sem_tendencia_significativa,False,0.0
sensibilidade_consecutiva_10a,tmax_era5,Tmax ERA5,A002,GOIANIA,GO,Centro-Oeste,15,2010,2024,36.181297302246094,37.318504333496094,15,15,0.14285714285714285,408.3333333333333,0.6928203230275509,0.4884223166225936,0.06658087836371528,0.6658087836371528,-0.3470483005366726,0.5060605247526638,0,1.0,408.3333333333333,0.6928203230275509,0.4884223166225936,0.7859807845520617,False,False,False,sem_tendencia_significativa,sem_tendencia_significativa,sem_tendencia_significativa,False,0.0
sensibilidade_consecutiva_10a,tmax_era5,Tmax ERA5,A036,CRISTALINA,GO,Centro-Oeste,18,2008,2025,35.234275817871094,33.689842224121094,18,29,0.1895424836601307,697.0,1.0605756267099984,0.28888280402716404,0.05837673611111111,0.5837673611111112,-0.2422520661157025,0.4619679414498925,0,1.0,697.0,1.0605756267099984,0.28888280402716404,0.6832647335236928,False,False,False,sem_tendencia_significativa,sem_tendencia_significativa,sem_tendencia_significativa,False,0.0
sensibilidade_consecutiva_10a,tmax_era5,Tmax ERA5,A045,AGUAS EMENDADAS,DF,Centro-Oeste,17,2009,2025,31.252832412719727,33.337547302246094,17,36,0.2647058823529412,589.3333333333334,1.4417419705003605,0.14937517875498973,0.11142985026041666,1.1142985026041665,-0.30637254901960786,0.4753610900391235,0,1.0,589.3333333333334,1.4417419705003605,0.14937517875498973,0.4481255362649692,False,False,False,sem_tendencia_significativa,sem_tendencia_significativa,sem_tendencia_significativa,False,0.0
sensibilidade_consecutiva_10a,tmax_era5,Tmax ERA5,A046,GAMA (PONTE ALTA),DF,Centro-Oeste,11,2015,2025,36.127342224121094,33.736473083496094,11,-7,-0.12727272727272726,165.0,-0.46709936649691375,0.640428787412791,-0.066650390625,-0.66650390625,-0.3333333333333333,0.5909513763026626,0,1.0,165.0,-0.46709936649691375,0.640428787412791,0.7859807845520617,False,False,False,sem_tendencia_significativa,sem_tendencia_significativa,sem_tendencia_significativa,False,0.0
sensibilidade_consecutiva_10a,tmax_era5,Tmax ERA5,A101,MANAUS,AM,Norte,15,2011,2025,34.876121520996094,36.505271911621094,15,45,0.42857142857142855,408.3333333333333,2.1774353009437313,0.02944810421427424,0.12786865234375,1.2786865234375,0.05366726296958855,0.5060605247526638,0,1.0,408.3333333333333,2.1774353009437313,0.02944810421427424,0.26503293792846816,True,True,False,crescente,crescente,sem_tendencia_significativa,False,0.0
