codigo,ano,classificacao,lag_era5_h,n_pares,bias_c,rmse_c,correlacao
A402,2006,controle,16,6660,-0.9799497723579407,5.347830295562744,-0.06357435668509544
A402,2006,controle,17,6653,-0.9834650754928589,5.0662431716918945,0.051595968464237904
A402,2006,controle,18,6648,-0.9861263036727905,4.731036186218262,0.1796130365057604
A402,2006,controle,19,6642,-0.9865445494651794,4.351556777954102,0.3133231797761668
A402,2006,controle,20,6636,-0.9854884147644043,3.9446287155151367,0.44403260321826615
A402,2006,controle,21,6629,-0.9843747615814209,3.5317955017089844,0.563498219095779
A402,2006,controle,22,6624,-0.9817986488342285,3.1450328826904297,0.6634814716420396
A402,2006,controle,23,6621,-0.9768754839897156,2.8482728004455566,0.7319576610839721
A402,2006,controle,24,6619,-0.9711174368858337,2.7281341552734375,0.7574179016497602
A355,2014,controle,-24,8736,-0.7291967272758484,2.2406060695648193,0.7683668575200351
A355,2014,controle,-23,8737,-0.729019284248352,2.2281930446624756,0.7755485887274773
A355,2014,controle,-22,8738,-0.728970468044281,2.2823190689086914,0.7434205014945345
A355,2014,controle,-21,8739,-0.729094922542572,2.3840181827545166,0.6810926077421765
A355,2014,controle,-20,8740,-0.7293938994407654,2.514148235321045,0.5974767414015002
A355,2014,controle,-19,8741,-0.7298134565353394,2.6567962169647217,0.5007868774423336
A355,2014,controle,-18,8742,-0.7303556799888611,2.7996327877044678,0.3987310099579351
A355,2014,controle,-17,8743,-0.7309287190437317,2.9346349239349365,0.2973883277208345
A355,2014,controle,-16,8744,-0.7315541505813599,3.057447910308838,0.201124988215362
A355,2014,controle,-15,8745,-0.732186496257782,3.165275812149048,0.11339776210297323
A355,2014,controle,-14,8746,-0.7327765226364136,3.2525219917297363,0.040180400278150834
A355,2014,controle,-13,8747,-0.7332748174667358,3.312847137451172,-0.01158448416840251
A355,2014,controle,-12,8748,-0.7336030602455139,3.3513314723968506,-0.04513412505157897
A355,2014,controle,-11,8749,-0.7336965799331665,3.3685312271118164,-0.060338513113821365
A355,2014,controle,-10,8750,-0.7334708571434021,3.3612112998962402,-0.05401558646593162
A355,2014,controle,-9,8751,-0.7329609394073486,3.3270273208618164,-0.024105685714304714
A355,2014,controle,-8,8752,-0.7323834896087646,3.263184070587158,0.031044319844449064
A355,2014,controle,-7,8753,-0.7317864894866943,3.1703951358795166,0.10930879585760724
A355,2014,controle,-6,8754,-0.7312431931495667,3.049764394760132,0.20765073606384313
A355,2014,controle,-5,8755,-0.7307291030883789,2.905113697052002,0.32053413137964826
A355,2014,controle,-4,8756,-0.7302379012107849,2.743758201599121,0.4399540551668961
A355,2014,controle,-3,8757,-0.7298758029937744,2.576690435409546,0.5564092728499862
A355,2014,controle,-2,8758,-0.7295800447463989,2.4143972396850586,0.6625375782102407
A355,2014,controle,-1,8759,-0.7293357849121094,2.2775962352752686,0.7466318113296251
A355,2014,controle,0,8760,-0.7291395664215088,2.1937336921691895,0.7957306281281916
A355,2014,controle,1,8759,-0.7288201451301575,2.1836702823638916,0.801398084952371
A355,2014,controle,2,8758,-0.7284148335456848,2.2433717250823975,0.7665444480606092
A355,2014,controle,3,8757,-0.7278153896331787,2.352043628692627,0.7006425876479035
A355,2014,controle,4,8756,-0.7270500659942627,2.48897385597229,0.6130713945407236
A355,2014,controle,5,8755,-0.7261009812355042,2.637768268585205,0.5120790718561159
A355,2014,controle,6,8754,-0.7249838709831238,2.785083293914795,0.40606118127947305
A355,2014,controle,7,8753,-0.7238277196884155,2.923245429992676,0.30123054002241645
A355,2014,controle,8,8752,-0.7226336002349854,3.047616720199585,0.2022186072510387
A355,2014,controle,9,8751,-0.7214462161064148,3.155954122543335,0.11238029286357393
A355,2014,controle,10,8750,-0.7203080654144287,3.2432870864868164,0.03741619074230309
A355,2014,controle,11,8749,-0.7192961573600769,3.303706169128418,-0.015869477679735202
A355,2014,controle,12,8748,-0.71852707862854,3.342562675476074,-0.05067270727173463
A355,2014,controle,13,8747,-0.7179695963859558,3.3611490726470947,-0.06755170420407738
A355,2014,controle,14,8746,-0.7177370190620422,3.3560781478881836,-0.06312188318669136
A355,2014,controle,15,8745,-0.7178318500518799,3.3247900009155273,-0.035452517426890456
A355,2014,controle,16,8744,-0.7180744409561157,3.264188528060913,0.01728974856694523
A355,2014,controle,17,8743,-0.7182999849319458,3.1744205951690674,0.09355960561321665
A355,2014,controle,18,8742,-0.718521773815155,3.0576252937316895,0.18957815873294118
A355,2014,controle,19,8741,-0.7186661958694458,2.9177441596984863,0.29980798316453033
A355,2014,controle,20,8740,-0.7188178300857544,2.762359857559204,0.4161942497408915
A355,2014,controle,21,8739,-0.7189027667045593,2.6020076274871826,0.5296177613929531
A355,2014,controle,22,8738,-0.7189668416976929,2.4474825859069824,0.6324995132607145
A355,2014,controle,23,8737,-0.7189268469810486,2.3169519901275635,0.7144721952567324
A355,2014,controle,24,8736,-0.7188491821289062,2.236792802810669,0.7625879383108226
A355,2017,controle,-24,7849,-0.7702078223228455,2.1344172954559326,0.8440965390973497
A355,2017,controle,-23,7845,-0.7684390544891357,2.1237869262695312,0.8480862856761048
A355,2017,controle,-22,7835,-0.7645671367645264,2.180969715118408,0.8216465770392694
A355,2017,controle,-21,7829,-0.7615649104118347,2.2885358333587646,0.7712891101428156
A355,2017,controle,-20,7823,-0.7591210603713989,2.4259064197540283,0.7038812072480695
A355,2017,controle,-19,7815,-0.7569830417633057,2.5749847888946533,0.6262039049600907
A355,2017,controle,-18,7808,-0.75435870885849,2.7232251167297363,0.5439129765881477
A355,2017,controle,-17,7801,-0.7521485090255737,2.8610808849334717,0.4632526695573221
A355,2017,controle,-16,7793,-0.7500962615013123,2.9850881099700928,0.3873460755125374
A355,2017,controle,-15,7790,-0.7492435574531555,3.0918266773223877,0.3194956035190566
A355,2017,controle,-14,7789,-0.7483010292053223,3.1770858764648438,0.26327243019217555
