ano,codigo,datetime_utc,grid_index,temp_inmet_c,temp_era5_c,erro_c,erro_abs,ranking
2002,A706,2002-10-04 17:00:00,18629,15.8,26.153711,10.353711,10.353711128234863,19
2002,A706,2002-04-26 02:00:00,18629,11.6,21.878565,10.278564,10.278564453125,20
2002,A901,2002-12-25 18:00:00,13915,35.7,28.393457,-7.3065424,7.30654239654541,1
2002,A901,2002-12-25 19:00:00,13915,35.7,28.61001,-7.0899897,7.08998966217041,2
2002,A901,2002-12-26 21:00:00,13915,34.2,27.682276,-6.517724,6.51772403717041,3
2002,A901,2002-12-30 16:00:00,13915,32.0,25.64126,-6.35874,6.358739852905273,4
2002,A901,2002-12-30 15:00:00,13915,31.4,25.164698,-6.2353024,6.235302448272705,5
2002,A901,2002-12-26 18:00:00,13915,33.8,27.84585,-5.95415,5.954150199890137,6
2002,A901,2002-12-26 22:00:00,13915,32.5,26.647608,-5.852392,5.852392196655273,7
2002,A901,2002-12-30 17:00:00,13915,32.1,26.290186,-5.809814,5.809813976287842,8
2002,A901,2002-12-26 17:00:00,13915,33.1,27.31875,-5.7812495,5.781249523162842,9
2002,A901,2002-12-25 17:00:00,13915,34.5,28.78213,-5.7178707,5.717870712280273,10
2002,A901,2002-12-26 23:00:00,13915,31.5,25.90127,-5.59873,5.598730087280273,11
2002,A901,2002-12-26 20:00:00,13915,34.4,28.817774,-5.5822263,5.582226276397705,12
2002,A901,2002-12-26 16:00:00,13915,31.9,26.518457,-5.3815427,5.381542682647705,13
2002,A901,2002-12-24 00:00:00,13915,32.2,26.853174,-5.3468256,5.34682559967041,14
2002,A901,2002-12-23 20:00:00,13915,35.2,30.102442,-5.097558,5.09755802154541,15
2002,A901,2002-12-30 13:00:00,13915,29.1,24.210108,-4.889892,4.889892101287842,16
2002,A901,2002-12-30 14:00:00,13915,29.6,24.73086,-4.86914,4.869140148162842,17
2002,A901,2002-12-22 23:00:00,13915,33.6,28.771143,-4.828857,4.828856945037842,18
2002,A901,2002-12-24 01:00:00,13915,31.3,26.47207,-4.8279295,4.827929496765137,19
2002,A901,2002-12-25 16:00:00,13915,33.7,28.895166,-4.8048334,4.80483341217041,20
2002,A906,2002-12-25 17:00:00,10380,24.1,30.430567,6.330567,6.330566883087158,1
2002,A906,2002-12-24 17:00:00,10380,25.3,31.069239,5.7692385,5.769238471984863,2
2002,A906,2002-12-25 18:00:00,10380,25.8,31.149317,5.3493166,5.349316596984863,3
2002,A906,2002-12-31 21:00:00,10380,32.8,27.83584,-4.96416,4.964159965515137,4
2002,A906,2002-12-24 18:00:00,10380,26.6,31.514795,4.9147954,4.914795398712158,5
2002,A906,2002-12-24 20:00:00,10380,27.2,31.78628,4.58628,4.58627986907959,6
2002,A906,2002-12-27 20:00:00,10380,25.3,29.574121,4.2741213,4.274121284484863,7
2002,A906,2002-12-24 19:00:00,10380,27.9,32.085594,4.185594,4.185594081878662,8
2002,A906,2002-12-30 22:00:00,10380,28.6,24.46963,-4.1303706,4.130370616912842,9
2002,A906,2002-12-25 19:00:00,10380,27.3,31.402979,4.1029787,4.102978706359863,10
2002,A906,2002-12-30 20:00:00,10380,28.8,24.739405,-4.0605955,4.060595512390137,11
2002,A906,2002-12-30 21:00:00,10380,28.6,24.584131,-4.0158687,4.015868663787842,12
2002,A906,2002-12-29 16:00:00,10380,28.9,24.90957,-3.9904294,3.990429401397705,13
2002,A906,2002-12-26 19:00:00,10380,30.8,26.840967,-3.9590328,3.9590327739715576,14
2002,A906,2002-12-29 17:00:00,10380,29.0,25.047754,-3.9522457,3.9522457122802734,15
2002,A906,2002-12-28 16:00:00,10380,29.2,25.25088,-3.9491208,3.9491207599639893,16
2002,A906,2002-12-28 17:00:00,10380,30.2,26.329248,-3.8707516,3.8707516193389893,17
2002,A906,2002-12-31 20:00:00,10380,32.4,28.55874,-3.8412595,3.841259479522705,18
2002,A906,2002-12-22 20:00:00,10380,34.5,30.725733,-3.7742672,3.7742671966552734,19
2002,A906,2002-12-29 15:00:00,10380,28.0,24.25625,-3.7437496,3.7437496185302734,20
